日本語,English,中文,한국語,,タグ説明

CE1:システムUIリフレッシュ,CE1:System UI Refresh,,,,
はい,Yes,,,,
いいえ,No,,,,
（雰囲気に流されてはいけません！！,(Don't get swept up by the mood!!,,,,
私には大切な人がいます……！！！）,I have someone important...!!!),,,,
（やめておきましょう……）,(Let's not...),,,,
\C[27]（でも我慢できない……\I[15]）,\C[27](But I can't hold back...\I[15]),,,,
イグイグイグイグッ！\I[15]\I[15],I-I'm coming!\I[15]\I[15],,,,

CE4:手ブラ裸判定起動,CE4: Hand-Bra Naked Check,,,,
今脱衣の必要はないでしょう,No need to undress now.,,,,
体に異常はありません,No issues with your body.,,,,
その必要はないでしょう,That's not necessary.,,,,
ここはお風呂ではありません,This isn't a bath.,,,,
気のせいでしょうか、視線を感じる気が……,"Is it my imagination, or is someone watching...?",,,,
今はふざけている場合ではありません,This isn't the time to fool around.,,,,
………いい加減にしてください,...Enough already.,,,,
遊んでるヒマはありません,No time to play.,,,,
布の切れ端とはいえ無いよりはマシです,A scrap of cloth is still better than nothing.,,,,

CE13:帰還,CE13: Return,,,,
帰還する,Return,,,,
やめる,Cancel,,,,

CE14:テレポーター,CE14: Teleporter,,,,
ま、待って！僕をおいてかないで！,W-wait! Don't leave me behind!,,,,
1層 ガラドの古城,Floor 1 Galad's Old Castle,,,,
if(s[215])2層 不浄の地下墓,if(s[215])Floor 2 Unclean Catacombs,,,,
if(s[216])3層 秘匿の森,if(s[216])Floor 3 Hidden Woods,,,,
if(s[1238])4層 オズ聖堂,if(s[1238])Floor 4 Oz Cathedral,,,,
if(s[1237])5層 イオの民の遺跡,if(s[1237])Floor 5 Ruins of the Io People,,,,
if(s[1248])深層 巫女の集落,if(s[1248])Deep Layer Shrine Maiden Hamlet,,,,

CE29:悪行演算/乱数,CE29: Evil Deeds Calc/Random,,,,
"ー\c[2]\RB[混沌,カオス]\c[0]と\c[1]\RB[秩序,ロウ]\c[0]についてー","—About \c[2]\RB[混沌,Chaos]\c[0] and \c[1]\RB[秩序,Law]\c[0]—",,,,
"悪事に手を染めると心が\c[2]\RB[混沌,カオス]\c[0]に傾き、","Do evil and your heart leans toward \c[2]\RB[混沌,Chaos]\c[0],",,,,
"善行を行うと\c[1]\RB[秩序,ロウ]\c[0]に傾く","Good deeds tilt you toward \c[1]\RB[秩序,Law]\c[0].",,,,
心のありようは魔術や祈りに影響を与える,Your mindset affects sorcery and prayer.,,,,
"\c[2]\RB[混沌,カオス]\c[0]は\c[5]魔術\c[0]に、\c[1]\RB[秩序,ロウ]\c[0]は\c[6]祈り\c[0]に","\c[2]\RB[混沌,Chaos]\c[0] boosts \c[5]magic\c[0], while \c[1]\RB[秩序,Law]\c[0] aids \c[6]prayer\c[0],",,,,
強い力を与えることがある,sometimes granting strong power.,,,,
悪行を重ねると、施設の利用料が高くなったり,Pile up evil deeds and facility fees may rise,,,,
\c[2]招かれざる客として疎まれる\c[0]ことがある,and you may be \c[2]shunned as an unwelcome guest\c[0].,,,,

CE31:ダンジョン内移動直後処理,CE31: Post-Move in Dungeon,,,,
\N[1]は迫りくる腹痛と排泄欲のウェーブを必死に耐えている,[N1] is barely enduring waves of cramps and the urge to go.,,,,
全身は脂汗でびっしょり汗ばんでいた,Cold sweat soaked her body.,,,,
が、我慢しすぎて……吐き気までしてきました…,She held it so long... it's making her nauseous...,,,,
まさか……さっき飲んじゃったスライムが,Could it be... that slime she swallowed earlier,,,,
お腹の中で悪さをしているんじゃ……,is causing trouble inside her belly...?,,,,
…スライムだろうと何だろうと関係ありません…！,"...Slime or not, it doesn't matter!",,,,
絶対負けません……！,"She won't lose, no matter what...!",,,,
…スライム如きに……尊厳を……踏みにじられは…！,...She won't let some slime trample... her dignity...!,,,,
ん……んんっーーー……！,Nn... nghh—...!,,,,
\fs[35]んっ！,\fs[35]Ngh!,,,,
負け……っっ,Not...losing...,,,,
\fs[40]ませんっ！！！\I[16],\fs[40]Never!!!\I[16],,,,
\N[1]括約筋を締め上げ、ギリギリのところで,"[N1] clenches hard, holding on by a thread",,,,
スライムを腸内に封じ込めた,and traps the slime in her gut.,,,,
ふぅ”ーーーっ…\I[16]ふぅ”ーーーっ…\I[16],Fuuuuh...\I[16]Fuuuuh...\I[16],,,,
ふんっ……！スライムめっ……！大人しく待っていなさい…！,Hmph...! Stupid slime...! Sit tight...!,,,,
おトイレに流してあげます…！,I'll flush you away...!,,,,
（あ…ヤバいですよ……！このウェーブ……大きい予感っ……！）,(Ah... this wave is bad... feels like a big one...!),,,,
特大の腹痛ウェーブに\N[1]は膝をついた,The massive cramp wave brings [N1] to her knees.,,,,
全神経を肛門括約筋に集中させアナルに栓をする,"She focuses everything on her sphincter, plugging her anus.",,,,
はぁ－…っ\I[16]はぁ－…っ\I[16],Haaah...\I[16]Haaah...\I[16],,,,
\fs[35]んっ\I[16],\fs[35]Nngh\I[16],,,,
ふぅっ…ふぅっ……,Huff... huff...,,,,
うっぅっ……また……ウェーブきた……！,Ugh... another wave...!,,,,
\fs[35]んんっ\I[16],\fs[35]Nnngh\I[16],,,,
しつっっっ………,S-sto...p...,,,,
\fs[40]こいですよっっ！！！\I[16],\fs[40]Bring it!!!\I[16],,,,
（し、しのいだ……なんとか……）,(H-held it... somehow...),,,,
お、大人しくしてなさい………,S-stay quiet...,,,,
貴方は…おトイレで……流されて死ぬ運命なんですよっ……,You're fated... to get flushed down the toilet...,,,,

CE35:HE:ダンジョン内放尿,CE35: HE: Dungeon Urination,,,,
あの………ちょっとお花を摘みに………,Um... I need to pick some flowers...,,,,
\^やむをえません！緊急措置です！,\^No choice! Emergency measure!,,,,
\^も、漏らすよりはマシです…！,\^B-better than wetting myself...!,,,,
\^よし…！だ、誰もいませんね！？,"\^Okay... n-no one's here, right!?",,,,
\^誰もいませんよね……こんなところだし…,\^No one around... not in a place like this...,,,,
"\^ちょっとだけ…ちょっとだけ\RB[放尿,だ]しちゃいましょう","\^Just a little... just a little \RB[pee,だ]...",,,,
\^ど…どうせ誰も見てないし…いいですよね,"\^N-no one's watching anyway... it's fine, right?",,,,
\^おトイレ以外でする背徳感……たまりませんね……,\^That wickedness of going outside the toilet... can't resist...,,,,
\^ほぉぉ～～……すっごい解放感ですね……これ,\^Hooo~~... what a release...,,,,
\^はひぃ…気ん持ちいい～～～,\^Hahii... feels so gooood~~~,,,,
ふぅ……ダンジョン内でよかった……,Phew... glad this is inside the dungeon...,,,,
街中だったら大変なことになってました,In town this would be a disaster.,,,,

CE39:ヘルプ,CE39: Help,,,,
\C[6]疲労ゲージ,\C[6]Fatigue Gauge,,,,
\C[6]祝福の回復瓶,\C[6]Blessing Flask,,,,
\C[6]鍵の開錠,\C[6]Lockpicking,,,,
時間経過,Time Passage,,,,
SP（スキルパワー）,SP (Skill Power),,,,
画面上の\i[14]アイコンは疲労の度合を表しており、,"The \i[14] icon shows your fatigue level,",,,,
ダンジョン内の移動、戦闘ターン経過、ギミック解除等で,"and it builds from dungeon movement, battle turns, and disabling gimmicks.",,,,
\i[14]疲労が徐々に蓄積していく,\i[14]Fatigue stacks little by little.,,,,
疲労の度合いによって下記のステータスが影響を受ける,The following stats change with your fatigue level:,,,,
・戦闘勝利時の\C[3]HP\C[0]・\C[5]MP\C[0]自動回復量,・\C[3]HP\C[0]/\C[5]MP\C[0] auto-recovery after victory,,,,
・戦闘開始時の\C[1]SP\C[0]初期値(スキル発動に必要なパワー）,・Starting \C[1]SP\C[0] at battle start (power to use skills),,,,
・逃走の成功率,・Escape success rate,,,,
疲労が\C[6]100%\C[0]を越えると戦闘能力が低下する危険な状態となる,Over \C[6]100%\C[0] fatigue puts you in a dangerous weakened state.,,,,
さらに疲労が\C[18]150%\C[0]に達するとダウンし街に送還される,"At \C[18]150%\C[0], you collapse and get sent back to town.",,,,
その際、救助費用が探索リザルトから引かれる,Rescue costs are deducted from your exploration results.,,,,
たまった疲労は街の宿で泊まることで全回復する,Resting at the inn fully clears fatigue.,,,,
ダンジョン内の野営ポイントで野宿することでも,Camping spots in the dungeon,,,,
わずかに回復できる,restore a little fatigue too.,,,,
ダンジョンに突入すると持っている\C[6]空の祝福瓶\C[0]の数だけ,"When you enter a dungeon, you get charges for each \C[6]Empty Blessing Flask\C[0] you carry.",,,,
回復薬が自動補充される,Your healing potion refills automatically.,,,,
空の祝福瓶は何度でも再利用することができる,Empty Blessing Flasks can be reused endlessly.,,,,
\C[6]「祝福瓶の欠片」を3つ集めて祝福瓶を完成させることで,Collect three \C[6]Blessing Flask Shards\C[0] to finish a flask,,,,
回復薬の持ち込み最大数を増やせる\C[0],and raise the max potions you can carry.\C[0],,,,
また祝福瓶の回復量は薬学書を集めることで成長できる,Collect pharmacology books to improve the flask's healing.,,,,
但し理性値が低いと効き目が減衰してしまうので注意が必要だ,"Low sanity reduces its effect, so be careful.",,,,
また祝福瓶は\C[6]「触媒石」\C[0]を入れることで,You can also slot \C[6]Catalyst Stones\C[0] into the flask,,,,
特殊な効果を付与することができる,to grant special effects.,,,,
カスタムはダンジョン前のブースや野営地で行える,Customize them at the dungeon booth or campsites.,,,,
ダンジョン内にはカギのついた宝箱や扉が無数に存在しており,,,,,
技術ステータスに応じた成功率で開錠を試みることができる,,,,,
開錠に失敗した場合は鍵穴が潰れてしまい干渉できなくなる,,,,,
